1016001007,食品饮料、保健食品|地方特产|华中地区,【衍年蓇晶牌】保元津片(女士型) (45片）-湖南泰尔制药,818医药网 > 养生保健 > 女性保健 > 调内分泌 > 【衍年蓇晶牌】保元津片(女士型) (45片）,818医药网,衍年蓇晶牌
,,【泰尔】 新维亭片（30片）-泰尔制药,818医药网 > 养生保健 > 女性保健 > 调内分泌 > 【泰尔】 新维亭片（30片）,818医药网,
,,【满300送300】凯镛R大豆异黄酮胶囊（益）,818医药网 > 养生保健 > 女性保健 > 调内分泌 > 【满300送300】凯镛R大豆异黄酮胶囊（益）,818医药网,其他
1013002014,个护化妆|身体护理|胸部护理,【汤臣倍健】葛根提取物片（60片）泰国野葛根 调节内分泌 促进胸部发育-广东汤臣倍健生物,818医药网 > 养生保健 > 女性保健 > 丰胸美体 > 【汤臣倍健】葛根提取物片（60片）泰国野葛根 调节内分泌 促进胸部发育,818医药网,汤臣倍健
1016007006,食品饮料、保健食品|营养健康|成分保健,【自然之宝 进口】 月见草油软胶囊 调节内分泌 锁住肌肤水分 （60粒/瓶）-美国,818医药网 > 养生保健 > 女性保健 > 调内分泌 > 【自然之宝 进口】 月见草油软胶囊 调节内分泌 锁住肌肤水分 （60粒/瓶）,818医药网,自然之宝
,,澳美倍健 女士营养素片 适用于调经养血 美白祛斑 调节内分泌 延缓衰老人群的健康食品-深圳澳美康(aomercon),818医药网 > 养生保健 > 女性保健 > 调内分泌 > 澳美倍健 女士营养素片 适用于调经养血 美白祛斑 调节内分泌 延缓衰老人群的健康食品,818医药网,澳美倍健
1016007002,食品饮料、保健食品|营养健康|美体养颜,本月特惠 两瓶装 正品 美国凯利莱 大豆提取物胶囊 大豆异黄酮 女性守护神 调整内分泌 养颜调经 500mg*100粒 免邮-美国凯利莱健康产业园,818医药网 > 养生保健 > 女性保健 > 美白祛斑 > 本月特惠 两瓶装 正品 美国凯利莱 大豆提取物胶囊 大豆异黄酮 女性守护神 调整内分泌 养颜调经 500mg*100粒 免邮,818医药网,凯利莱
,,格列齐特片,西药药品 > 激素和内分泌 > ,21世纪药店网,
,,格列吡嗪片,西药 > 激素和内分泌 > ,21世纪药店网,
,,格列吡嗪缓释片,西药 > 激素和内分泌 > ,21世纪药店网,
