,,中化工业 头孢克洛颗粒0.125克×6袋,日常用药 > 按科目分类 > 男科用药类 ,七乐康,
,,贵阳济仁堂 复方石韦胶囊 0.35克×60粒,日常用药 > 按科目分类 > 男科用药类 ,七乐康,
,,前列通片  108片,日常用药 > 按科目分类 > 男科用药类 ,七乐康,
,,消石片(薄膜衣片)0.32g*60片,日常用药 > 按科目分类 > 男科用药类 ,七乐康,
1016007002,食品饮料、保健食品|营养健康|美体养颜,哈乐 盐酸坦索罗辛缓释胶囊  0.2mg*10粒,日常用药 > 按科目分类 > 男科用药类 ,七乐康,
,,百年康鑫 热淋清片0.6克×12片×2板 薄膜衣,日常用药 > 按科目分类 > 男科用药类 ,七乐康,
,,阿特芬(前列腺类),首页 > 补肾壮阳 > 男科用药 > 前列腺类,北京药品网,
,,六味地黄丸(滋阴补肾),首页 > 补肾壮阳 > 男科用药 > 滋阴补肾,北京药品网,
,,男宝胶囊(补肾壮阳),首页 > 补肾壮阳 > 男科用药 > 补肾壮阳,北京药品网,
,,人参固本丸(滋阴补肾),首页 > 补肾壮阳 > 男科用药 > 滋阴补肾,北京药品网,
,,大补阴丸(滋阴补肾),首页 > 补肾壮阳 > 男科用药 > 滋阴补肾,北京药品网,
,,桑塔(前列腺类),首页 > 补肾壮阳 > 男科用药 > 前列腺类,北京药品网,
1016007003,食品饮料、保健食品|营养健康|滋补调养,【万艾可】 枸橼酸西地那非片 （1片装）-美国辉瑞制药, 八百方网上药店> 中西成药> 男科用药> ED用药> 【万艾可】 枸橼酸西地那非片 （1片装）-美国辉瑞制药,八百方网上药店,
1016007004,食品饮料、保健食品|营养健康|骨骼健康,【艾力达】 盐酸伐地那非片 （4片装）-德国拜耳医药保健, 八百方网上药店> 中西成药> 男科用药> ED用药> 【艾力达】 盐酸伐地那非片 （4片装）-德国拜耳医药保健,八百方网上药店,
1016008006,食品饮料、保健食品|亚健康调理|更多调理,前列安通片, 八百方网上药店> 中西成药> 男科用药> 前列腺> 前列安通片,八百方网上药店,
1016007004,食品饮料、保健食品|营养健康|骨骼健康,盐酸坦索罗辛缓释胶囊（哈乐）, 八百方网上药店> 中西成药> 男科用药> 前列腺> 盐酸坦索罗辛缓释胶囊（哈乐）,八百方网上药店,
1016008006,食品饮料、保健食品|亚健康调理|更多调理,前列通片, 八百方网上药店> 中西成药> 男科用药> 前列腺> 前列通片,八百方网上药店,
1016007002,食品饮料、保健食品|营养健康|美体养颜,非那雄胺胶囊, 八百方网上药店> 中西成药> 男科用药> 前列腺> 非那雄胺胶囊,八百方网上药店,
1016002003,食品饮料、保健食品|进口食品|休闲零食,【那妥】 萘哌地尔片 （10片装）, 八百方网上药店> 中西成药> 男科用药> 前列腺> 【那妥】 萘哌地尔片 （10片装）,八百方网上药店,
1005005006,健康运动、户外|成人用品|人体润滑,【万艾可】枸橼酸西地那非片, 八百方网上药店> 中西成药> 男科用药> ED用药> 【万艾可】枸橼酸西地那非片,八百方网上药店,
